recvcpu,seq,origseq,latency,sendtime,recvtime,dest,responder,outttl,recvttl,sport,dport,protocol,outipid,inipid
4,1,55143,271655,2963074339811,2963074611466,10.10.4.2,10.10.1.2,1,64,34002,5020,6,20089,20089
4,3,26784,291389,2963117063819,2963117355208,10.10.4.2,10.10.1.2,1,64,34002,5020,6,20101,20101
4,5,51443,369174,2963159851020,2963160220194,10.10.4.2,10.10.1.2,1,64,34002,5020,6,20161,20161
7,2,55399,10748242,2963095557365,2963106305607,10.10.4.2,10.10.3.2,2,63,34002,5020,6,20090,20090
7,4,34833,11112403,2963138454783,2963149567186,10.10.4.2,10.10.3.2,2,63,34002,5020,6,20121,20121
4,7,18497,285998,2963204257718,2963204543716,10.10.4.2,10.10.1.2,1,64,34002,5020,6,20401,20401
4,9,34918,499007,2963238971157,2963239470164,10.10.4.2,10.10.1.2,1,64,34002,5020,6,21177,21177
4,11,16476,530897,2963264806038,2963265336935,10.10.4.2,10.10.1.2,1,64,34002,5020,6,21492,21492
4,13,53295,274429,2963294237503,2963294511932,10.10.4.2,10.10.1.2,1,64,34002,5020,6,21982,21982
4,15,45083,377705,2963315331508,2963315709213,10.10.4.2,10.10.1.2,1,64,34002,5020,6,22250,22250
4,17,38964,428251,2963335464241,2963335892492,10.10.4.2,10.10.1.2,1,64,34002,5020,6,22707,22707
4,19,16535,630825,2963358128250,2963358759075,10.10.4.2,10.10.1.2,1,64,34002,5020,6,22996,22996
4,21,36894,532122,2963383128264,2963383660386,10.10.4.2,10.10.1.2,1,64,34002,5020,6,23382,23382
4,23,53372,510743,2963405702832,2963406213575,10.10.4.2,10.10.1.2,1,64,34002,5020,6,23806,23806
4,25,8196,426260,2963430278907,2963430705167,10.10.4.2,10.10.1.2,1,64,34002,5020,6,24192,24192
4,27,24824,531592,2963451323406,2963451854998,10.10.4.2,10.10.1.2,1,64,34002,5020,6,24552,24552
4,29,36953,474131,2963472651064,2963473125195,10.10.4.2,10.10.1.2,1,64,34002,5020,6,24886,24886
4,31,26847,454194,2963499326996,2963499781190,10.10.4.2,10.10.1.2,1,64,34002,5020,6,25317,25317
4,33,20547,635722,2963520103192,2963520738914,10.10.4.2,10.10.1.2,1,64,34002,5020,6,25742,25742
4,35,10410,285565,2963542939867,2963543225432,10.10.4.2,10.10.1.2,1,64,34002,5020,6,26077,26077
4,37,48,652204,2963565677646,2963566329850,10.10.4.2,10.10.1.2,1,64,34002,5020,6,26508,26508
4,39,51234,573460,2963587175137,2963587748597,10.10.4.2,10.10.1.2,1,64,34002,5020,6,26913,26913
4,41,51358,525196,2963607496001,2963608021197,10.10.4.2,10.10.1.2,1,64,34002,5020,6,27297,27297
4,43,53257,578874,2963628567514,2963629146388,10.10.4.2,10.10.1.2,1,64,34002,5020,6,27678,27678
4,45,22660,531066,2963649387014,2963649918080,10.10.4.2,10.10.1.2,1,64,34002,5020,6,28107,28107
4,47,45306,462507,2963670330894,2963670793401,10.10.4.2,10.10.1.2,1,64,34002,5020,6,28490,28490
4,49,236,457076,2963692354884,2963692811960,10.10.4.2,10.10.1.2,1,64,34002,5020,6,28940,28940
4,51,49241,775098,2963715093409,2963715868507,10.10.4.2,10.10.1.2,1,64,34002,5020,6,29412,29412
4,53,4171,668891,2963736902173,2963737571064,10.10.4.2,10.10.1.2,1,64,34002,5020,6,29862,29862
4,55,24636,488903,2963759415228,2963759904131,10.10.4.2,10.10.1.2,1,64,34002,5020,6,30312,30312
4,57,41145,370956,2963780010112,2963780381068,10.10.4.2,10.10.1.2,1,64,34002,5020,6,30832,30832
4,59,34845,662929,2963802204825,2963802867754,10.10.4.2,10.10.1.2,1,64,34002,5020,6,31257,31257
4,61,24589,556444,2963822673217,2963823229661,10.10.4.2,10.10.1.2,1,64,34002,5020,6,31752,31752
4,63,14589,517040,2963844171601,2963844688641,10.10.4.2,10.10.1.2,1,64,34002,5020,6,32247,32247
4,65,16519,429776,2963864206105,2963864635881,10.10.4.2,10.10.1.2,1,64,34002,5020,6,32724,32724
4,67,24798,589653,2963885489613,2963886079266,10.10.4.2,10.10.1.2,1,64,34002,5020,6,33192,33192
4,69,39020,473076,2963906101576,2963906574652,10.10.4.2,10.10.1.2,1,64,34002,5020,6,33715,33715
4,71,63578,459176,2963928674672,2963929133848,10.10.4.2,10.10.1.2,1,64,34002,5020,6,34255,34255
4,73,32937,629785,2963949479849,2963950109634,10.10.4.2,10.10.1.2,1,64,34002,5020,6,34812,34812
4,75,22681,552740,2963970463041,2963971015781,10.10.4.2,10.10.1.2,1,64,34002,5020,6,35307,35307
4,77,59425,466650,2963990690972,2963991157622,10.10.4.2,10.10.1.2,1,64,34002,5020,6,35829,35829
4,79,16417,434270,2964012323323,2964012757593,10.10.4.2,10.10.1.2,1,64,34002,5020,6,36372,36372
4,81,99,737365,2964032956642,2964033694007,10.10.4.2,10.10.1.2,1,64,34002,5020,6,36972,36972
4,83,59471,676506,2964054715332,2964055391838,10.10.4.2,10.10.1.2,1,64,34002,5020,6,37557,37557
4,85,53308,698356,2964076301175,2964076999531,10.10.4.2,10.10.1.2,1,64,34002,5020,6,38142,38142
4,87,12331,642863,2964096988847,2964097631710,10.10.4.2,10.10.1.2,1,64,34002,5020,6,38682,38682
4,89,40982,596584,2964117918874,2964118515458,10.10.4.2,10.10.1.2,1,64,34002,5020,6,39312,39312
4,91,34819,619067,2964139262432,2964139881499,10.10.4.2,10.10.1.2,1,64,34002,5020,6,39897,39897
4,93,63726,468633,2964160744973,2964161213606,10.10.4.2,10.10.1.2,1,64,34002,5020,6,40527,40527
4,95,47258,334872,2964181527999,2964181862871,10.10.4.2,10.10.1.2,1,64,34002,5020,6,41191,41191
4,97,24772,696501,2964202180537,2964202877038,10.10.4.2,10.10.1.2,1,64,34002,5020,6,41832,41832
7,6,18616,12078066,2963181715474,2963193793540,10.10.4.2,10.10.3.2,2,63,34002,5020,6,20241,20241
7,8,18515,15066618,2963228792277,2963243858895,10.10.4.2,10.10.3.2,2,63,34002,5020,6,20721,20721
7,10,55334,19247348,2963254381626,2963273628974,10.10.4.2,10.10.3.2,2,63,34002,5020,6,21211,21211
7,12,59476,21124729,2963283860401,2963304985130,10.10.4.2,10.10.3.2,2,63,34002,5020,6,21717,21717
7,14,14512,24853179,2963304587846,2963329441025,10.10.4.2,10.10.3.2,2,63,34002,5020,6,22231,22231
7,16,4269,24021367,2963325368580,2963349389947,10.10.4.2,10.10.3.2,2,63,34002,5020,6,22502,22502
7,18,43057,24941146,2963347459235,2963372400381,10.10.4.2,10.10.3.2,2,63,34002,5020,6,22797,22797
7,20,28708,26734373,2963368630896,2963395365269,10.10.4.2,10.10.3.2,2,63,34002,5020,6,23202,23202
7,22,14359,26323945,2963394242081,2963420566026,10.10.4.2,10.10.3.2,2,63,34002,5020,6,23607,23607
7,24,6359,28275778,2963419821579,2963448097357,10.10.4.2,10.10.3.2,2,63,34002,5020,6,24003,24003
7,26,47209,30287141,2963440301388,2963470588529,10.10.4.2,10.10.3.2,2,63,34002,5020,6,24391,24391
7,28,26811,30247380,2963461518120,2963491765500,10.10.4.2,10.10.3.2,2,63,34002,5020,6,24677,24677
7,30,49382,29749311,2963484573017,2963514322328,10.10.4.2,10.10.3.2,2,63,34002,5020,6,25092,25092
7,32,43082,29859770,2963509468207,2963539327977,10.10.4.2,10.10.3.2,2,63,34002,5020,6,25517,25517
7,34,20684,30212076,2963531220403,2963561432479,10.10.4.2,10.10.3.2,2,63,34002,5020,6,25902,25902
7,36,6335,32247089,2963553195049,2963585442138,10.10.4.2,10.10.3.2,2,63,34002,5020,6,26307,26307
7,38,43048,31114791,2963576761592,2963607876383,10.10.4.2,10.10.3.2,2,63,34002,5020,6,26733,26733
7,40,45203,31299423,2963597354492,2963628653915,10.10.4.2,10.10.3.2,2,63,34002,5020,6,27114,27114
7,42,22549,32251854,2963618207900,2963650459754,10.10.4.2,10.10.3.2,2,63,34002,5020,6,27499,27499
7,44,8200,30426982,2963639179167,2963669606149,10.10.4.2,10.10.3.2,2,63,34002,5020,6,27904,27904
7,46,30846,31797921,2963659691498,2963691489419,10.10.4.2,10.10.3.2,2,63,34002,5020,6,28287,28287
7,48,16603,33073532,2963680552618,2963713626150,10.10.4.2,10.10.3.2,2,63,34002,5020,6,28756,28756
7,50,20714,30836723,2963702589532,2963733426255,10.10.4.2,10.10.3.2,2,63,34002,5020,6,29166,29166
7,52,10458,32801042,2963726536690,2963759337732,10.10.4.2,10.10.3.2,2,63,34002,5020,6,29661,29661
7,54,30923,34334735,2963747417477,2963781752212,10.10.4.2,10.10.3.2,2,63,34002,5020,6,30111,30111
7,56,36915,32378634,2963769544794,2963801923428,10.10.4.2,10.10.3.2,2,63,34002,5020,6,30582,30582
7,58,57380,33057968,2963790433292,2963823491260,10.10.4.2,10.10.3.2,2,63,34002,5020,6,31032,31032
7,60,2261,35080197,2963812469142,2963847549339,10.10.4.2,10.10.3.2,2,63,34002,5020,6,31561,31561
7,62,36868,32470704,2963834120829,2963866591533,10.10.4.2,10.10.3.2,2,63,34002,5020,6,32022,32022
7,64,39054,33067952,2963854205414,2963887273366,10.10.4.2,10.10.3.2,2,63,34002,5020,6,32499,32499
7,66,12519,34486130,2963874528747,2963909014877,10.10.4.2,10.10.3.2,2,63,34002,5020,6,32922,32922
7,68,51400,35611841,2963895675394,2963931287235,10.10.4.2,10.10.3.2,2,63,34002,5020,6,33505,33505
7,70,51299,33953338,2963918072686,2963952026024,10.10.4.2,10.10.3.2,2,63,34002,5020,6,33985,33985
7,72,20658,34174152,2963939322612,2963973496764,10.10.4.2,10.10.3.2,2,63,34002,5020,6,34542,34542
7,74,10402,35917018,2963960330679,2963996247697,10.10.4.2,10.10.3.2,2,63,34002,5020,6,35037,35037
7,76,34960,36022637,2963980587790,2964016610427,10.10.4.2,10.10.3.2,2,63,34002,5020,6,35577,35577
7,78,45301,37714716,2964002066970,2964039781686,10.10.4.2,10.10.3.2,2,63,34002,5020,6,36138,36138
7,80,53355,36298640,2964022883774,2964059182414,10.10.4.2,10.10.3.2,2,63,34002,5020,6,36702,36702
7,82,12378,35306434,2964044710005,2964080016439,10.10.4.2,10.10.3.2,2,63,34002,5020,6,37242,37242
7,84,6215,36198877,2964065733441,2964101932318,10.10.4.2,10.10.3.2,2,63,34002,5020,6,37827,37827
7,86,52,38015333,2964086986567,2964125001900,10.10.4.2,10.10.3.2,2,63,34002,5020,6,38412,38412
7,88,28703,39166266,2964107578903,2964146745169,10.10.4.2,10.10.3.2,2,63,34002,5020,6,39042,39042
7,90,43212,39754987,2964128314298,2964168069285,10.10.4.2,10.10.3.2,2,63,34002,5020,6,39661,39661
7,92,37049,38220954,2964149554757,2964187775711,10.10.4.2,10.10.3.2,2,63,34002,5020,6,40246,40246
4,99,18609,344752,2964222325930,2964222670682,10.10.4.2,10.10.1.2,1,64,34002,5020,6,42417,42417
4,101,47260,652439,2964243310656,2964243963095,10.10.4.2,10.10.1.2,1,64,34002,5020,6,43047,43047
4,103,45190,458156,2964264558756,2964265016912,10.10.4.2,10.10.1.2,1,64,34002,5020,6,43722,43722
4,105,8306,723495,2964285737118,2964286460613,10.10.4.2,10.10.1.2,1,64,34002,5020,6,44352,44352
4,107,6236,414666,2964305964277,2964306378943,10.10.4.2,10.10.1.2,1,64,34002,5020,6,45027,45027
4,109,34887,702035,2964326786168,2964327488203,10.10.4.2,10.10.1.2,1,64,34002,5020,6,45657,45657
4,111,57551,532118,2964347527113,2964348059231,10.10.4.2,10.10.1.2,1,64,34002,5020,6,46360,46360
4,113,55494,484460,2964368973814,2964369458274,10.10.4.2,10.10.1.2,1,64,34002,5020,6,46814,46814
4,115,32770,803256,2964393237479,2964394040735,10.10.4.2,10.10.1.2,1,64,34002,5020,6,47776,47776
