recvcpu,seq,origseq,latency,sendtime,recvtime,dest,responder,outttl,recvttl,sport,dport,protocol,outipid,inipid
4,5115,14641,815398,5653716098956,5653716914354,10.10.4.2,10.10.1.2,1,64,34012,5020,6,36815,36815
4,5117,23036,851246,5653736198161,5653737049407,10.10.4.2,10.10.1.2,1,64,34012,5020,6,38435,38435
4,5119,31175,840568,5653756352810,5653757193378,10.10.4.2,10.10.1.2,1,64,34012,5020,6,40055,40055
4,5121,39314,961240,5653776443140,5653777404380,10.10.4.2,10.10.1.2,1,64,34012,5020,6,41675,41675
4,5123,20825,730874,5653798185213,5653798916087,10.10.4.2,10.10.1.2,1,64,34012,5020,6,43430,43430
4,5125,28964,817409,5653818278434,5653819095843,10.10.4.2,10.10.1.2,1,64,34012,5020,6,45050,45050
4,5127,37359,790194,5653838356056,5653839146250,10.10.4.2,10.10.1.2,1,64,34012,5020,6,46670,46670
4,5129,45498,854428,5653858427076,5653859281504,10.10.4.2,10.10.1.2,1,64,34012,5020,6,48290,48290
4,5131,53637,759672,5653878546111,5653879305783,10.10.4.2,10.10.1.2,1,64,34012,5020,6,49910,49910
4,5133,35148,675369,5653900206657,5653900882026,10.10.4.2,10.10.1.2,1,64,34012,5020,6,51665,51665
4,5135,43287,735714,5653920325331,5653921061045,10.10.4.2,10.10.1.2,1,64,34012,5020,6,53285,53285
4,5137,25054,914357,5653942020248,5653942934605,10.10.4.2,10.10.1.2,1,64,34012,5020,6,55040,55040
4,5139,33193,805898,5653962051273,5653962857171,10.10.4.2,10.10.1.2,1,64,34012,5020,6,56660,56660
4,5141,41332,820197,5653982157062,5653982977259,10.10.4.2,10.10.1.2,1,64,34012,5020,6,58280,58280
4,5143,49471,776515,5654002245926,5654003022441,10.10.4.2,10.10.1.2,1,64,34012,5020,6,59900,59900
4,5145,57610,778555,5654022355182,5654023133737,10.10.4.2,10.10.1.2,1,64,34012,5020,6,61520,61520
4,5147,470,751564,5654042450628,5654043202192,10.10.4.2,10.10.1.2,1,64,34012,5020,6,63140,63140
4,5149,8609,795653,5654062557217,5654063352870,10.10.4.2,10.10.1.2,1,64,34012,5020,6,64760,64760
4,5151,16748,949676,5654082615492,5654083565168,10.10.4.2,10.10.1.2,1,64,34012,5020,6,844,844
4,5153,24887,758792,5654102827655,5654103586447,10.10.4.2,10.10.1.2,1,64,34012,5020,6,2464,2464
4,5155,33026,835759,5654122907368,5654123743127,10.10.4.2,10.10.1.2,1,64,34012,5020,6,4084,4084
4,5157,41421,780770,5654143155525,5654143936295,10.10.4.2,10.10.1.2,1,64,34012,5020,6,5704,5704
4,5159,49560,981504,5654163226945,5654164208449,10.10.4.2,10.10.1.2,1,64,34012,5020,6,7324,7324
4,5161,31071,921175,5654184958088,5654185879263,10.10.4.2,10.10.1.2,1,64,34012,5020,6,9079,9079
4,5163,12582,823046,5654206729591,5654207552637,10.10.4.2,10.10.1.2,1,64,34012,5020,6,10834,10834
4,5165,20977,734072,5654226774687,5654227508759,10.10.4.2,10.10.1.2,1,64,34012,5020,6,12454,12454
4,5167,29116,747028,5654246871388,5654247618416,10.10.4.2,10.10.1.2,1,64,34012,5020,6,14074,14074
4,5169,41348,1813656,5654266887920,5654268701576,10.10.4.2,10.10.1.2,1,64,34012,5020,6,15784,15784
4,5171,45394,894717,5654286922314,5654287817031,10.10.4.2,10.10.1.2,1,64,34012,5020,6,17314,17314
4,5173,53533,845418,5654307035036,5654307880454,10.10.4.2,10.10.1.2,1,64,34012,5020,6,18934,18934
4,5175,35300,750315,5654328696729,5654329447044,10.10.4.2,10.10.1.2,1,64,34012,5020,6,20689,20689
4,5177,16811,880195,5654350378302,5654351258497,10.10.4.2,10.10.1.2,1,64,34012,5020,6,22444,22444
4,5179,24950,766880,5654370474389,5654371241269,10.10.4.2,10.10.1.2,1,64,34012,5020,6,24064,24064
4,5181,33089,834169,5654390562053,5654391396222,10.10.4.2,10.10.1.2,1,64,34012,5020,6,25684,25684
4,5183,41228,740582,5654410619405,5654411359987,10.10.4.2,10.10.1.2,1,64,34012,5020,6,27304,27304
4,5185,49623,736195,5654430670793,5654431406988,10.10.4.2,10.10.1.2,1,64,34012,5020,6,28924,28924
4,5187,57762,930122,5654450824345,5654451754467,10.10.4.2,10.10.1.2,1,64,34012,5020,6,30544,30544
4,5189,4459,1829238,5654470871383,5654472700621,10.10.4.2,10.10.1.2,1,64,34012,5020,6,32254,32254
4,5191,8505,847415,5654490888895,5654491736310,10.10.4.2,10.10.1.2,1,64,34012,5020,6,33784,33784
4,5193,16644,728506,5654510959756,5654511688262,10.10.4.2,10.10.1.2,1,64,34012,5020,6,35404,35404
4,5195,25039,850967,5654531073005,5654531923972,10.10.4.2,10.10.1.2,1,64,34012,5020,6,37024,37024
4,5197,33178,762281,5654551180458,5654551942739,10.10.4.2,10.10.1.2,1,64,34012,5020,6,38644,38644
4,5199,41317,746969,5654571261195,5654572008164,10.10.4.2,10.10.1.2,1,64,34012,5020,6,40264,40264
4,5201,22828,738285,5654592910622,5654593648907,10.10.4.2,10.10.1.2,1,64,34012,5020,6,42019,42019
4,5203,31223,753567,5654613061249,5654613814816,10.10.4.2,10.10.1.2,1,64,34012,5020,6,43639,43639
4,5205,39362,753201,5654633186114,5654633939315,10.10.4.2,10.10.1.2,1,64,34012,5020,6,45259,45259
7,5106,24876,11525622,5653620876925,5653632402547,10.10.4.2,10.10.3.2,2,63,34012,5020,6,29120,29120
7,5108,6643,11486211,5653642646331,5653654132542,10.10.4.2,10.10.3.2,2,63,34012,5020,6,30875,30875
7,5110,18875,12770778,5653662666920,5653675437698,10.10.4.2,10.10.3.2,2,63,34012,5020,6,32585,32585
7,5112,61828,11690224,5653684342806,5653696033030,10.10.4.2,10.10.3.2,2,63,34012,5020,6,34250,34250
7,5114,43339,11525417,5653706038172,5653717563589,10.10.4.2,10.10.3.2,2,63,34012,5020,6,36005,36005
