sample,timestamp,rtt
0,4284254536679,22246
1,4284254565590,22272
2,4284254910439,22284
3,4284254937826,22314
4,4284277107664,22344
5,4284277135677,22397
6,4284277146159,22446
7,4284277152522,22465
8,4284277195564,22483
9,4284277218510,22481
10,4284277738854,22483
11,4284277772921,22525
12,4284277782422,22567
13,4284277788017,22580
14,4284299941450,22593
15,4284299963897,22622
16,4284299982085,22650
17,4284299989998,22666
18,4284300638936,22682
19,4284300662463,22755
20,4284300684677,22821
21,4284300692429,22860
22,4284300699116,22895
23,4284300704550,22902
24,4284300859418,22909
25,4284300890106,22912
26,4284300899006,22918
27,4284301453497,22924
28,4284301476788,22976
29,4284301493511,23025
30,4284301507870,23047
31,4284322973801,23069
32,4284322998002,23063
33,4284323184708,23059
34,4284323207912,23079
35,4284323223858,23077
36,4284324177205,23078
37,4284324201219,23135
38,4284324218555,23185
39,4284324226854,23206
40,4284325099236,23225
41,4284325123077,23327
42,4284325140538,23420
43,4284325147887,23480
44,4284325153912,23534
45,4284325352987,23582
46,4284325667395,23649
47,4284325693661,23719
48,4284325710827,23780
49,4284325717837,23814
50,4284325874239,23843
51,4284346688724,23866
52,4284347758362,23846
53,4284347782072,23937
54,4284347793511,24018
55,4284347954447,24088
56,4284347967034,24170
57,4284348789474,24241
58,4284349166551,24287
59,4284349190248,24371
60,4284349561099,24424
61,4284349583789,24516
62,4284349984696,24600
63,4284350011356,24635
64,4284351113741,24666
65,4284351137394,24802
66,4284351446455,24924
67,4284351480882,25069
68,4284351497635,25161
69,4284351737558,25244
70,4284351751155,25346
71,4284352450634,25434
72,4284352463778,25599
73,4284352482628,25722
74,4284352497671,25832
75,4284352759693,25929
76,4284372825757,26048
77,4284374187945,28603
78,4284374886393,28330
79,4284374900517,28179
80,4284374919643,28044
81,4284374940340,27929
82,4284375331069,27809
83,4284375351240,27753
84,4284376090620,27706
85,4284376182435,27655
86,4284376559038,27574
87,4284377022087,27501
88,4284377044331,27495
89,4284377748296,27490
90,4284377773949,27574
91,4284378142639,27600
92,4284378167469,27668
93,4284378176570,27732
94,4284378183260,27788
