recvcpu,seq,origseq,latency,sendtime,recvtime,dest,responder,outttl,recvttl,sport,dport,protocol,outipid,inipid
7,16,5221,12074765,3374666551073,3374678625838,10.10.4.2,10.10.3.2,2,63,34004,5020,6,28470,28470
7,18,23642,11194419,3374688901305,3374700095724,10.10.4.2,10.10.3.2,2,63,34004,5020,6,29147,29147
7,20,42063,11323141,3374710048805,3374721371946,10.10.4.2,10.10.3.2,2,63,34004,5020,6,29824,29824
7,22,21564,11224388,3374732630996,3374743855384,10.10.4.2,10.10.3.2,2,63,34004,5020,6,30590,30590
7,24,29755,11837606,3374753889368,3374765726974,10.10.4.2,10.10.3.2,2,63,34004,5020,6,31314,31314
7,26,23579,11025614,3374775811541,3374786837155,10.10.4.2,10.10.3.2,2,63,34004,5020,6,32123,32123
7,28,37894,11716796,3374798040444,3374809757240,10.10.4.2,10.10.3.2,2,63,34004,5020,6,32934,32934
7,30,9452,11982341,3374819041432,3374831023773,10.10.4.2,10.10.3.2,2,63,34004,5020,6,33744,33744
7,32,50382,12024386,3374840452362,3374852476748,10.10.4.2,10.10.3.2,2,63,34004,5020,6,34644,34644
7,34,29870,11870443,3374862782616,3374874653059,10.10.4.2,10.10.3.2,2,63,34004,5020,6,35634,35634
7,36,35986,11876331,3374883019198,3374894895529,10.10.4.2,10.10.3.2,2,63,34004,5020,6,36489,36489
7,38,19567,10942058,3374904773077,3374915715135,10.10.4.2,10.10.3.2,2,63,34004,5020,6,37569,37569
7,40,3148,11551852,3374925032366,3374936584218,10.10.4.2,10.10.3.2,2,63,34004,5020,6,38649,38649
7,42,15419,11541176,3374947713173,3374959254349,10.10.4.2,10.10.3.2,2,63,34004,5020,6,39690,39690
7,44,54287,11578550,3374969899760,3374981478310,10.10.4.2,10.10.3.2,2,63,34004,5020,6,40497,40497
7,46,25845,11329097,3374991585737,3375002914834,10.10.4.2,10.10.3.2,2,63,34004,5020,6,41307,41307
7,48,42191,11442817,3375012478268,3375023921085,10.10.4.2,10.10.3.2,2,63,34004,5020,6,42115,42115
7,50,29891,11625596,3375033434822,3375045060418,10.10.4.2,10.10.3.2,2,63,34004,5020,6,42837,42837
7,52,46237,11082578,3375054425078,3375065507656,10.10.4.2,10.10.3.2,2,63,34004,5020,6,43645,43645
7,54,21645,11114668,3375074703190,3375085817858,10.10.4.2,10.10.3.2,2,63,34004,5020,6,44321,44321
7,56,23668,10943065,3375095719934,3375106662999,10.10.4.2,10.10.3.2,2,63,34004,5020,6,45086,45086
7,58,33890,11522356,3375116099503,3375127621859,10.10.4.2,10.10.3.2,2,63,34004,5020,6,45807,45807
7,60,5192,11620606,3375138082672,3375149703278,10.10.4.2,10.10.3.2,2,63,34004,5020,6,46617,46617
7,62,64551,11152754,3375159096253,3375170249007,10.10.4.2,10.10.3.2,2,63,34004,5020,6,47426,47426
7,64,44052,11890729,3375180387919,3375192278648,10.10.4.2,10.10.3.2,2,63,34004,5020,6,48192,48192
