recvcpu,seq,origseq,latency,sendtime,recvtime,dest,responder,outttl,recvttl,sport,dport,protocol,outipid,inipid
4,1,53945,349410,5189845513919,5189845863329,10.10.4.2,10.10.1.2,1,64,34010,5020,6,33187,33187
4,3,25586,277643,5189887811634,5189888089277,10.10.4.2,10.10.1.2,1,64,34010,5020,6,33199,33199
4,5,49989,323510,5189930467605,5189930791115,10.10.4.2,10.10.1.2,1,64,34010,5020,6,33259,33259
7,2,54201,10578733,5189866467454,5189877046187,10.10.4.2,10.10.3.2,2,63,34010,5020,6,33188,33188
7,4,33635,10759967,5189909078310,5189919838277,10.10.4.2,10.10.3.2,2,63,34010,5020,6,33219,33219
4,7,17299,369049,5189973439142,5189973808191,10.10.4.2,10.10.1.2,1,64,34010,5020,6,33499,33499
4,9,5118,353723,5190016836421,5190017190144,10.10.4.2,10.10.1.2,1,64,34010,5020,6,34061,34061
4,11,60353,545389,5190060378976,5190060924365,10.10.4.2,10.10.1.2,1,64,34010,5020,6,34684,34684
4,13,50159,381501,5190103773756,5190104155257,10.10.4.2,10.10.1.2,1,64,34010,5020,6,35371,35371
4,15,64368,383079,5190147220922,5190147604001,10.10.4.2,10.10.1.2,1,64,34010,5020,6,36118,36118
4,17,35670,287180,5190190282568,5190190569748,10.10.4.2,10.10.1.2,1,64,34010,5020,6,36928,36928
4,19,9109,324492,5190232991978,5190233316470,10.10.4.2,10.10.1.2,1,64,34010,5020,6,37799,37799
4,21,23455,534174,5190264430505,5190264964679,10.10.4.2,10.10.1.2,1,64,34010,5020,6,38706,38706
4,23,17155,685877,5190285546744,5190286232621,10.10.4.2,10.10.1.2,1,64,34010,5020,6,39131,39131
4,25,62354,557636,5190306895680,5190307453316,10.10.4.2,10.10.1.2,1,64,34010,5020,6,39609,39609
4,27,29576,558137,5190328225077,5190328783214,10.10.4.2,10.10.1.2,1,64,34010,5020,6,40105,40105
4,29,9090,335866,5190349879081,5190350214947,10.10.4.2,10.10.1.2,1,64,34010,5020,6,40647,40647
4,31,45940,278360,5190371659903,5190371938263,10.10.4.2,10.10.1.2,1,64,34010,5020,6,41233,41233
4,33,60268,466443,5190393120739,5190393587182,10.10.4.2,10.10.1.2,1,64,34010,5020,6,41820,41820
4,35,2968,782186,5190414294788,5190415076974,10.10.4.2,10.10.1.2,1,64,34010,5020,6,42416,42416
4,37,31619,735008,5190435737524,5190436472532,10.10.4.2,10.10.1.2,1,64,34010,5020,6,43046,43046
4,39,64363,836503,5190457794187,5190458630690,10.10.4.2,10.10.1.2,1,64,34010,5020,6,43766,43766
4,41,13112,203757,5190478627664,5190478831421,10.10.4.2,10.10.1.2,1,64,34010,5020,6,44481,44481
4,43,64316,756904,5190500085901,5190500842805,10.10.4.2,10.10.1.2,1,64,34010,5020,6,45206,45206
4,45,804,778656,5190521669515,5190522448171,10.10.4.2,10.10.1.2,1,64,34010,5020,6,45971,45971
4,47,37641,537129,5190543276182,5190543813311,10.10.4.2,10.10.1.2,1,64,34010,5020,6,46781,46781
4,49,44013,825512,5190566644801,5190567470313,10.10.4.2,10.10.1.2,1,64,34010,5020,6,47636,47636
4,51,50129,694171,5190588105742,5190588799913,10.10.4.2,10.10.1.2,1,64,34010,5020,6,48491,48491
4,53,25524,774534,5190609794060,5190610568594,10.10.4.2,10.10.1.2,1,64,34010,5020,6,49391,49391
4,55,35733,721650,5190631207291,5190631928941,10.10.4.2,10.10.1.2,1,64,34010,5020,6,50336,50336
4,57,15221,655648,5190652645744,5190653301392,10.10.4.2,10.10.1.2,1,64,34010,5020,6,51326,51326
4,59,29523,686511,5190674027691,5190674714202,10.10.4.2,10.10.1.2,1,64,34010,5020,6,52361,52361
4,61,13104,784837,5190695548461,5190696333298,10.10.4.2,10.10.1.2,1,64,34010,5020,6,53441,53441
4,63,778,367909,5190717038566,5190717406475,10.10.4.2,10.10.1.2,1,64,34010,5020,6,54611,54611
4,65,54243,768689,5190737330354,5190738099043,10.10.4.2,10.10.1.2,1,64,34010,5020,6,55781,55781
4,67,11196,658603,5190757951754,5190758610357,10.10.4.2,10.10.1.2,1,64,34010,5020,6,56996,56996
4,69,37777,786298,5190779337402,5190780123700,10.10.4.2,10.10.1.2,1,64,34010,5020,6,58301,58301
4,71,33637,1072510,5190799948162,5190801020672,10.10.4.2,10.10.1.2,1,64,34010,5020,6,59651,59651
4,73,60218,788957,5190820732276,5190821521233,10.10.4.2,10.10.1.2,1,64,34010,5020,6,60956,60956
4,75,60171,704830,5190841525873,5190842230703,10.10.4.2,10.10.1.2,1,64,34010,5020,6,62396,62396
4,77,29659,679707,5190862287563,5190862967270,10.10.4.2,10.10.1.2,1,64,34010,5020,6,63881,63881
4,79,33705,882482,5190882558381,5190883440863,10.10.4.2,10.10.1.2,1,64,34010,5020,6,65411,65411
4,81,11123,667541,5190903459965,5190904127506,10.10.4.2,10.10.1.2,1,64,34010,5020,6,1540,1540
4,83,58169,1395018,5190924499630,5190925894648,10.10.4.2,10.10.1.2,1,64,34010,5020,6,3295,3295
4,85,9215,808612,5190947483445,5190948292057,10.10.4.2,10.10.1.2,1,64,34010,5020,6,5095,5095
4,87,17354,689264,5190967537388,5190968226652,10.10.4.2,10.10.1.2,1,64,34010,5020,6,6715,6715
7,6,17162,10986396,5189951913220,5189962899616,10.10.4.2,10.10.3.2,2,63,34010,5020,6,33339,33339
7,8,46007,11088282,5189995069308,5190006157590,10.10.4.2,10.10.3.2,2,63,34010,5020,6,33777,33777
7,10,37813,11182167,5190038642656,5190049824823,10.10.4.2,10.10.3.2,2,63,34010,5020,6,34365,34365
7,12,49960,11139677,5190082100744,5190093240421,10.10.4.2,10.10.3.2,2,63,34010,5020,6,35019,35019
7,14,62213,11059474,5190125519813,5190136579287,10.10.4.2,10.10.3.2,2,63,34010,5020,6,35737,35737
7,16,33590,10864437,5190169000205,5190179864642,10.10.4.2,10.10.3.2,2,63,34010,5020,6,36515,36515
7,18,29626,10857003,5190211666681,5190222523684,10.10.4.2,10.10.3.2,2,63,34010,5020,6,37353,37353
7,20,17388,10883951,5190254193285,5190265077236,10.10.4.2,10.10.3.2,2,63,34010,5020,6,38267,38267
7,22,9163,10819721,5190275540908,5190286360629,10.10.4.2,10.10.3.2,2,63,34010,5020,6,38759,38759
7,24,56318,10905849,5190296692275,5190307598124,10.10.4.2,10.10.3.2,2,63,34010,5020,6,39266,39266
7,26,15341,11115465,5190318149784,5190329265249,10.10.4.2,10.10.3.2,2,63,34010,5020,6,39806,39806
7,28,39899,11169124,5190339559891,5190350729015,10.10.4.2,10.10.3.2,2,63,34010,5020,6,40346,40346
7,30,33736,11033441,5190361232244,5190372265685,10.10.4.2,10.10.3.2,2,63,34010,5020,6,40931,40931
7,32,4976,10939945,5190382805657,5190393745602,10.10.4.2,10.10.3.2,2,63,34010,5020,6,41549,41549
7,34,25503,11101557,5190404287958,5190415389515,10.10.4.2,10.10.3.2,2,63,34010,5020,6,42191,42191
7,36,23433,11125448,5190425636651,5190436762099,10.10.4.2,10.10.3.2,2,63,34010,5020,6,42866,42866
7,38,21363,11549136,5190447051854,5190458600990,10.10.4.2,10.10.3.2,2,63,34010,5020,6,43541,43541
7,40,54107,11171562,5190468399244,5190479570806,10.10.4.2,10.10.3.2,2,63,34010,5020,6,44261,44261
7,42,37670,10898996,5190489848674,5190500747670,10.10.4.2,10.10.3.2,2,63,34010,5020,6,45021,45021
7,44,58153,11060601,5190511210881,5190522271482,10.10.4.2,10.10.3.2,2,63,34010,5020,6,45791,45791
7,46,8964,10759976,5190532875471,5190543635447,10.10.4.2,10.10.3.2,2,63,34010,5020,6,46599,46599
7,48,1013,11187146,5190555362878,5190566550024,10.10.4.2,10.10.3.2,2,63,34010,5020,6,47411,47411
7,50,7129,11250534,5190576741396,5190587991930,10.10.4.2,10.10.3.2,2,63,34010,5020,6,48266,48266
