sample,timestamp,rtt
0,4770475039360,21018
1,4770475317000,21022
2,4770475332867,21042
3,4770475348166,21062
4,4770496327684,21059
5,4770496355822,21090
6,4770496645107,21121
7,4770496659177,21163
8,4770496674413,21201
9,4770496682947,21212
10,4770496931704,21223
11,4770496946156,21244
12,4770496954088,21264
13,4770496960900,21261
14,4770517683777,21259
15,4770517707238,21270
16,4770517723650,21282
17,4770517741382,21274
18,4770517749154,21268
19,4770517762626,21240
20,4770518118684,21217
21,4770518142813,21226
22,4770518153700,21238
23,4770518161502,21228
24,4770518167465,21220
25,4770518462867,21213
26,4770518486640,21222
27,4770518666570,21232
28,4770538973777,21242
29,4770538998041,21247
30,4770539008026,21254
31,4770539028922,21260
32,4770539281250,21265
33,4770539303737,21286
34,4770539423201,21307
35,4770539437545,21340
36,4770539457829,21348
37,4770539474293,21358
38,4770539636110,21357
39,4770539660399,21365
40,4770539675169,21376
41,4770539828344,21365
42,4770539841357,21374
43,4770539852106,21373
44,4770540152895,21358
45,4770540373052,21382
46,4770540386077,21422
47,4770540567827,21444
48,4770540598775,21487
49,4770540615630,21528
50,4770560097700,21552
51,4770560341667,21498
52,4770560513660,21480
53,4770560787081,21483
54,4770560810889,21517
55,4770560826431,21518
56,4770560848625,21517
57,4770561012524,21503
58,4770561303593,21505
59,4770561324220,21524
60,4770561607482,21541
61,4770561618660,21589
62,4770561625226,21590
63,4770562134828,21591
64,4770562148823,21656
65,4770562156250,21697
66,4770562163618,21734
67,4770562170035,21733
68,4770562210191,21733
69,4770562222106,21737
70,4770562249671,21726
71,4770562259714,21719
72,4770562615827,21711
73,4770562629106,21749
74,4770562637159,21783
75,4770562643788,21772
76,4770581362128,21762
77,4770582477994,21699
78,4770582501428,21731
79,4770582736450,21762
80,4770582765887,21784
81,4770583127226,21807
82,4770583139627,21871
83,4770583600503,21925
84,4770583613611,21964
85,4770583621356,21999
86,4770583629865,22031
87,4770583636085,22060
88,4770583888419,22086
89,4770583901251,22140
90,4770584122175,22116
91,4770584134439,22122
92,4770584143010,22128
93,4770584294857,22135
94,4770584309163,22160
95,4770584557882,22112
96,4770584571201,22100
97,4770584810674,22092
98,4770585014116,22115
99,4770585208941,22160
100,4770585221962,22224
101,4770585230832,22207
102,4770585522785,22193
103,4770585712199,22217
104,4770585867101,22261
105,4770585879786,22247
106,4770586168246,22236
107,4770586468112,22262
108,4770586480480,22323
109,4770586489017,22308
110,4770586497163,22296
111,4770602889058,22287
112,4770604365375,22191
113,4770604387814,22152
114,4770604754933,22088
115,4770605066569,22079
116,4770605411466,22106
117,4770605422782,22172
118,4770605443467,22232
119,4770605452868,22207
120,4770605464420,22187
121,4770605838757,22170
122,4770605863522,22202
123,4770605881232,22234
124,4770605889771,22263
125,4770606311267,22217
126,4770606324599,22229
127,4770606332285,22242
128,4770606696111,22254
129,4770606708404,22309
130,4770606718670,22360
131,4770606904473,22327
132,4770606917759,22322
133,4770606925351,22319
134,4770607083801,22318
135,4770607256874,22336
136,4770607271541,22374
137,4770607279286,22329
138,4770607285890,22290
139,4770607574608,22257
140,4770607884996,22264
141,4770607898502,22309
142,4770607907154,22350
143,4770607913796,22388
144,4770608191731,22421
145,4770608396336,22485
146,4770608408648,22566
147,4770608426748,22639
148,4770608732933,22563
149,4770608745066,22536
150,4770608753548,22513
151,4770608837698,22495
152,4770609047702,22489
153,4770609061815,22510
154,4770609069497,22530
155,4770609266818,22549
156,4770609522104,22590
157,4770609535418,22657
158,4770609988208,22603
159,4770610001346,22613
160,4770610010312,22622
161,4770610016878,22632
162,4770610024106,22641
163,4770610321940,22575
164,4770610334948,22555
165,4770610342580,22540
166,4770610654426,22526
