recvcpu,seq,origseq,latency,sendtime,recvtime,dest,responder,outttl,recvttl,sport,dport,protocol,outipid,inipid
4,14,26076,68776900,5447122184792,5447190961692,10.10.4.2,10.10.3.2,2,63,41574,5020,6,20958,20958
4,16,52722,70569583,5447143995404,5447214564987,10.10.4.2,10.10.3.2,2,63,41574,5020,6,21143,21143
4,18,9515,71728649,5447165736838,5447237465487,10.10.4.2,10.10.3.2,2,63,41574,5020,6,21334,21334
4,20,11608,72613658,5447187515606,5447260129264,10.10.4.2,10.10.3.2,2,63,41574,5020,6,21523,21523
4,22,56714,73531756,5447209678812,5447283210568,10.10.4.2,10.10.3.2,2,63,41574,5020,6,21713,21713
4,24,36285,74575282,5447230876705,5447305451987,10.10.4.2,10.10.3.2,2,63,41574,5020,6,21903,21903
4,26,62931,76040863,5447252655885,5447328696748,10.10.4.2,10.10.3.2,2,63,41574,5020,6,22088,22088
4,28,42246,77143190,5447274478936,5447351622126,10.10.4.2,10.10.3.2,2,63,41574,5020,6,22278,22278
4,30,21817,78337672,5447296306127,5447374643799,10.10.4.2,10.10.3.2,2,63,41574,5020,6,22468,22468
4,32,1388,79629549,5447318088069,5447397717618,10.10.4.2,10.10.3.2,2,63,41574,5020,6,22658,22658
4,34,46494,80058184,5447339888417,5447419946601,10.10.4.2,10.10.3.2,2,63,41574,5020,6,22848,22848
4,36,7605,81535860,5447361671577,5447443207437,10.10.4.2,10.10.3.2,2,63,41574,5020,6,23033,23033
4,38,52711,82565382,5447383533497,5447466098879,10.10.4.2,10.10.3.2,2,63,41574,5020,6,23223,23223
4,40,32026,83668836,5447405410627,5447489079463,10.10.4.2,10.10.3.2,2,63,41574,5020,6,23413,23413
4,42,11597,85036364,5447427225562,5447512261926,10.10.4.2,10.10.3.2,2,63,41574,5020,6,23603,23603
4,44,56703,85392438,5447449018439,5447534410877,10.10.4.2,10.10.3.2,2,63,41574,5020,6,23793,23793
4,46,17814,87090013,5447470606391,5447557696404,10.10.4.2,10.10.3.2,2,63,41574,5020,6,23978,23978
4,48,62920,88041127,5447492653214,5447580694341,10.10.4.2,10.10.3.2,2,63,41574,5020,6,24168,24168
4,50,42491,89290261,5447514438467,5447603728728,10.10.4.2,10.10.3.2,2,63,41574,5020,6,24358,24358
4,52,21806,90582941,5447536162484,5447626745425,10.10.4.2,10.10.3.2,2,63,41574,5020,6,24548,24548
4,54,29992,91751893,5447556633288,5447648385181,10.10.4.2,10.10.3.2,2,63,41574,5020,6,24728,24728
4,56,38178,92182452,5447578044760,5447670227212,10.10.4.2,10.10.3.2,2,63,41574,5020,6,24908,24908
4,58,17749,92701959,5447599804160,5447692506119,10.10.4.2,10.10.3.2,2,63,41574,5020,6,25098,25098
4,60,44395,94205673,5447621559077,5447715764750,10.10.4.2,10.10.3.2,2,63,41574,5020,6,25283,25283
4,62,23966,96069413,5447642637360,5447738706773,10.10.4.2,10.10.3.2,2,63,41574,5020,6,25473,25473
4,64,32152,96458312,5447663984406,5447760442718,10.10.4.2,10.10.3.2,2,63,41574,5020,6,25653,25653
4,66,11723,97659527,5447685916579,5447783576106,10.10.4.2,10.10.3.2,2,63,41574,5020,6,25843,25843
4,68,56829,98860079,5447707669138,5447806529217,10.10.4.2,10.10.3.2,2,63,41574,5020,6,26033,26033
4,70,36144,99308808,5447729470298,5447828779106,10.10.4.2,10.10.3.2,2,63,41574,5020,6,26223,26223
4,72,62790,100751984,5447751206391,5447851958375,10.10.4.2,10.10.3.2,2,63,41574,5020,6,26408,26408
4,74,42361,101946400,5447773073932,5447875020332,10.10.4.2,10.10.3.2,2,63,41574,5020,6,26598,26598
4,76,21932,103289362,5447794772345,5447898061707,10.10.4.2,10.10.3.2,2,63,41574,5020,6,26788,26788
